3,ファイレックス,（仮）よ、聞こえているか！:このとおり、お前の部隊は突破してきたぞ！,
3,（仮）,ようやくきたか、待ちくたびれたぞ:では、約束どおり相手をしてやろう！,
5,33,532,240
0,30,1,1
3,ファイレックス,退屈するぐらいならば、最初に会ったとき戦えばいいものを…:物臭はいけないぞ,
3,（仮）,いや、そっちが操作に慣れていないと、その…:…理不尽だと思われちゃうだろ:まずは道中で練習しておかないと、ね？,
3,ファイレックス,操作？何のことだ？:私は自立起動だ。そんな要素はない:だが、いいウォーミングアップにはなったな,
3,（仮）,…まあいい:では、この（仮）と！,
3,（仮）,我が機体、デスドラグドが！,
3,（仮）,お前をバラバラに破壊してやろう！,
3,ファイレックス,いくぞ、勝負だ！,
7,7,,
8,,,
3,（仮）,うわーっ！:負けたーっ!,
3,（仮）,で、でも、いい気になるなよ！:自分で言うのもなんだが、俺は様子見で行かされたに過ぎないんだ:機械の開発は俺の担当だから偉くないわけではないが…,
3,（仮）,とにかく、ヴォルテックスにはもっと強いやつがいるんだ:覚悟して待っていろーっ！,
3,ファイレックス,あっ、逃げるかっ！,
3,ファイレックス,戦いは始まったばかりか…:だが街を守ることができて一安心だ,
3,ファイレックス,ヴォルテックスめ、かかってこい！:私は決して負けないぞ！,
